id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
2812,"This is the first time I’ve reached out about the poor handling of my previous complaint. I have a health condition that makes this process particularly tedious for me, and it’s been nothing short of frustrating. I was promised a follow-up but never heard back. It’s disappointing.",Medium,Medium,Poor Complaint Handling,Terse and minimal,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2813,"I've been a loyal customer for over ten years and am furious about the recent bill I've received. I noticed you charged me $50 more without any justification. When I called before, I was told it was a mistake, but I’m still seeing the charge. This escalation isn’t working for me and feels very disrespectful.",Medium,Medium,Overcharging & Incorrect Billing,Narrative / storytelling,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2814,"I called last week to discuss the exceedingly long wait times I’ve faced when trying to reach customer service, and I'm afraid I'm doing it again today. Even basic inquiries have taken more than an hour of my time. I just want a straightforward answer without this absurd waiting.",Medium,Medium,Long Call-Waiting Times,Legalistic / rights-aware,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
2815,"I had a conversation with an agent last Thursday regarding a package switch that turned out to be a confusing mess. Instead of the plan I asked for, I ended up with one that's far too expensive for a student’s budget. I can’t afford this, and I’d like to get this fixed promptly.",Medium,Medium,Wrong Sale Due to Agent Mistake,Narrative / storytelling,Student on a tight budget,First contact — raising the issue for the first time
2816,"This is getting ridiculous. I’ve been trying to address suspicious charges on my account related to fraudulent activity. I’ve contacted your support several times now, and the lack of real solutions is so disheartening. I'm starting to feel like I'm going in circles without any real help.",Medium,Medium,Fraud & Scams,Casual conversational,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2817,"I'm really disappointed in how my recent complaints have been handled. Despite reaching out a few times about incorrect charges on my family plan, I've received no clear resolutions. As a parent, I need support, and it feels like it’s falling on deaf ears.",Medium,Medium,Poor Complaint Handling,Narrative / storytelling,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2818,"I just learned you’ve increased my monthly payments mid-contract, and I must say I’m quite taken aback. I expected the quoted rate to remain consistent throughout my agreement period. Now, I’m reaching out to know how this is even allowed. This is the first I’m hearing about it and I need clarification.",Medium,Medium,Mid-Contract Price Increase,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2819,"I've been waiting for a resolution regarding ongoing service issues that I've faced, and the promised fixes are yet to happen. I’ve called in multiple times, and every time, it’s clear I have to restart the discussion from scratch. This is unacceptable, and the stress from this back-and-forth is adding to my difficulties managing my health.",Medium,Medium,Unfulfilled Fix Promises,Verbose and detailed,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
2820,"I was recently notified of hidden fees that appeared out of nowhere. Given my history with you, this feels completely unfair. When I switched services, I was assured all costs would be transparent. Now, I’m reaching out for a second time because I need to have this addressed seriously and quickly.",Medium,Medium,Hidden Fees & Charges,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2821,"The call waiting times are just too much. I have now spent a considerable amount of time trying to get through to your support concerning my service. As a small business owner, I need my time back and shouldn’t have to endure these long waits for answers.",Medium,Medium,Long Call-Waiting Times,Legalistic / rights-aware,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
2822,"After more than ten years as a customer, I’ve reached out about a loyalty penalty that appears on my recent bill, and it's disheartening that this issue has not yet been resolved after my first complaint. I was promised a better deal because of my loyalty, and now I’m left feeling ignored.",Medium,Medium,Loyalty Penalty,Formal professional,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2823,"I’m writing to express my disappointment regarding a recent experience with your customer service. I reported an incident of fraud on my account but felt that my concerns were not taken seriously. After multiple calls, I was told a manager would get back to me, but that hasn’t happened. As someone with a disability, your handling of this issue has made me feel even more vulnerable. I would appreciate a response from someone in a managerial position urgently.",Medium,Medium,Fraud & Scams,Polite but firm,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2824,"I need to contest the early termination fee you’ve added to my account. As a parent trying to manage a family plan, this fee is both unexpected and excessive, especially considering I’ve had no clear communication about it when I decided to switch to a more suitable plan. I’ve tried to resolve this through your customer service channels but to no avail. I'm requesting that this be escalated to a manager as soon as possible.",Medium,Medium,High Early Termination Fees,Legalistic / rights-aware,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2825,"I find it amusing that every time I contact your support team regarding my complaint, the same scripted lines are repeated to me. My last call, on October 1st, yielded no satisfaction, and I'm back to square one. Perhaps I should take a course in patience, but I’d rather just have effective service. The repeated failure to address my issues seems to be your forte, unfortunately.",Medium,Medium,Poor Complaint Handling,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2826,"I recently learned about the cessation of 3G service, and I must say I'm quite alarmed. I rely on my phone not just for communication but for accessing vital services due to my condition. I can’t believe this was not communicated to me sooner. I hope you can help me navigate this transition smoothly without leaving me in a bind. This is my first attempt at addressing this matter, so I hope it gets resolved.",Medium,Medium,3G Shutdown Impact,Polite but firm,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2827,"I don’t know how else to say this, but your billing department is clearly struggling. I’ve noticed multiple discrepancies in my recent bills and as a student, I cannot afford these unexpected charges. It’s incredibly frustrating to spend time calling customer service only to receive no clear solution. I need to escalate this to a manager because my financial situation depends on accurate billing.",Medium,Medium,Overcharging & Incorrect Billing,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2828,"I can’t believe I’m still dealing with the same issue for the fifth time now. It’s been over a month and each time I call, I hear the same nonsensical excuses about loyalty bonuses. I’ve been a customer for years and all I want is transparency. Honestly, you need to sort this out before I consider switching to a different provider for good.",Medium,Medium,Loyalty Penalty,Casual conversational,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
2829,"I’ve been waiting an excessive amount of time on hold for your customer service, and I really thought it would be resolved after I made my last call. The constant delays just add to my frustration, especially given my health conditions. I respectfully request that this situation be expedited. I need to speak to someone who can actually help me.",Medium,Medium,Long Call-Waiting Times,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2830,"The phone I purchased last month seems to be malfunctioning, and I’ve only had it for a short period. I’m a busy parent, and I really can’t afford to waste time with faulty equipment. This is my first reach out, and I expect prompt assistance. Please advise on how we can resolve this swiftly.",Medium,Medium,Faulty Hardware / Handset Issues,Terse and minimal,Parent managing a family plan,First contact — raising the issue for the first time
2831,"My broadband speed has reached an unacceptable level, and trying to work on my assignments has become a real challenge. Originally promised 50 Mbps, I’m barely getting 5! This is my first time contacting you about it, and I sincerely hope that solving the problem doesn't take another week.",Medium,Medium,Slow Broadband Speeds,Verbose and detailed,Student on a tight budget,First contact — raising the issue for the first time
2832,"I inadvertently discovered that my contract was auto-renewed without my consent, and I’m absolutely bewildered. I’ve called in previously, and yet received no satisfactory explanation. It feels like I’m just being fobbed off. I don’t want to escalate this further than necessary, but I expect this to be sorted quickly.",Medium,Medium,Auto-Renewal Without Consent,Verbose and detailed,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
2833,"I’ve tried three times now to cancel my service, but every time, the call has either been cut off or I’m told I need to hold just a little longer. This is unacceptably frustrating for someone of my age who isn’t as adept with technology. I’m writing to ensure this request is taken seriously and acted upon promptly.",Medium,Medium,Difficulty Cancelling Service,Polite but firm,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2834,"The coverage in my area is shocking. I can’t rely on my phone for anything crucial due to constant dropped calls and no service zones. I understand this is a first complaint, however, living with a disability means I can't afford to lose such vital communication. I’d appreciate an urgent review of this issue.",Medium,Medium,Poor Network Coverage,Casual conversational,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2835,"Every time I try to resolve my troubles with cancellation, I’m met with pushback or further confusion. It’s like going around in circles. I thought switching providers would simplify things, but it’s only caused more headaches. Can someone please clarify this for me? I really need straightforward answers.",Medium,Medium,Difficulty Cancelling Service,Passive-aggressive / sarcastic,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2836,"I received a bill after I had canceled my service last month, which reads like a joke. I’ve reached out a few times already, hoping to resolve this without escalation. Yet here I am, frustrated and done with poor communication. I expect this to be rectified without further delay.",Medium,Medium,Billing After Cancellation,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
2837,"I was sold a plan that was incorrectly described to me during the sale, which has now left me with services I never intended to purchase. I feel quite misled and frankly, it's unacceptable. I don’t want to raise this higher up than necessary, but I do need proper resolution here. This is my first complaint about this issue.",Medium,Medium,Wrong Sale Due to Agent Mistake,Passive-aggressive / sarcastic,Parent managing a family plan,First contact — raising the issue for the first time
2838,"I recently switched to your service from a different provider, hoping for a smooth transition, but I was hit with unexpected fees. I was charged £35 last month for something that wasn't clearly outlined in my plan. I have tried contacting customer service on three separate occasions, and each time I was promised a callback from a manager. I’m quite disappointed to find no follow-up. It feels as if I have exhausted all normal channels and I may have to escalate this to the ombudsman if it isn't resolved promptly.",Medium,Medium,Hidden Fees & Charges,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2839,"It's been over a month since we first reported our connectivity issues on our family plan, and every time I call, I hear promises of a fix. My kids are getting increasingly frustrated with their inability to connect for their school work. I spoke to James on the 5th of September, and he assured me that an engineer would come by, but that never happened. This is becoming a serious concern for us, and I could use some clarity on when we can expect a resolution.",Medium,Medium,Unfulfilled Fix Promises,Narrative / storytelling,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2840,"I just found out about the 3G network shutting down, and I'm really confused and upset since I barely use the internet on my phone. I’m not very technical, and I only knew to contact you because my daughter recommended it. What do I need to do now? This is the first time I'm reaching out about it, so I hope you can help me understand the situation a bit better.",Medium,Medium,3G Shutdown Impact,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2841,"As a student trying to manage my budget, I am quite frustrated with the loyalty penalty that kicked in this month. I reached out last week, and even though I explained my situation, I was told there would be no adjustments. I just want a fair deal and to keep my service under the conditions we initially agreed upon. I can't afford these unexpected increases, so I would appreciate it if someone could assist me in resolving this issue quickly.",Medium,Medium,Loyalty Penalty,Formal professional,Student on a tight budget,Second attempt — raised once before with no resolution
2842,"I’ve reached out several times about connectivity problems, especially considering my health. Every time, I've been told it's being looked into, but I see no improvement. Last week, I was told by Alex that it would be fixed, and here I am still facing the same issues. As I have already escalated this and requested a manager's involvement, I hope to see some action soon. This is draining and unacceptable given my circumstances.",Medium,Medium,Unfulfilled Fix Promises,Narrative / storytelling,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2843,"I'm really at my wit's end with the constant coverage drops in my area. I depend on my phone for safe communication, especially living on my own in my elderly years. This is the first time I'm reporting it, but I hardly get signal when I need to make calls. I would like to know what can be done about this. It’s quite unsettling for me not to have reliable service.",Medium,Medium,Poor Network Coverage,Casual conversational,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2844,"I have been a loyal customer for over a decade, and now I'm dealing with what seems to be an ongoing scam related to my account. I noticed charges for services I never signed up for, and after speaking to your customer service last week, I was assured it would be rectified. I’ve yet to see that happen. This is disappointing and not how you treat long-term customers. Please resolve this before I take further action.",Medium,Medium,Fraud & Scams,Formal professional,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2845,"I cancelled my service last month, and I’m now seeing charges on my bank statement. This cannot be right as I followed all the necessary steps, and I made sure to confirm cancellation. It’s been hard for me to navigate all this since I'm not very tech-savvy. I feel quite vulnerable in this situation and would like immediate assistance to resolve this issue before it escalates further.",Medium,Medium,Billing After Cancellation,Polite but firm,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2846,"I’ve been dealing with what feels like a suspicious charge on my bill for the past few months now. I reached out to customer service last time and was informed that it was just a mistake, but I’m seeing it again. As an elderly person, I find these processes overwhelming, and I cannot keep getting charged incorrectly. Could you kindly provide me with a manager's contact that I can speak to directly?",Medium,Medium,Fraud & Scams,Narrative / storytelling,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2847,"I need to raise my concern about your promise to fix the performance of my device. After waiting for six weeks and being told an outdated model would be replaced, I still have not received any updates and my phone is barely usable. I know I’m reliant on it for my daily life, and it feels like no one cares about resolving this issue. I would really want someone to call me with a timeline.",Medium,Medium,Poor Network Coverage,Polite but firm,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
2848,"Honestly, I thought when I signed my contract, I would be receiving appropriate service throughout. Now, I see there's a mid-contract price increase. This is highly inconvenient for me with my current budget. I just contacted your team last week, and I expected some clear resolution on how we could rectify this ongoing issue. I would like you to review my account as soon as possible.",Medium,Medium,Faulty Hardware / Handset Issues,Narrative / storytelling,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2849,"I lost connection on my device due to what I believe is an issue with the hardware. After contacting customer support to get assistance last week, they explained it should be straightforward, but I'm still unable to use my phone properly. As someone used to managing their own affairs, it’s frustrating that no one has provided a solution yet. Please inform me how we can resolve this.",Medium,Medium,3G Shutdown Impact,Verbose and detailed,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2850,"I’ve been trying to navigate poor signal issues in my area for quite some time, but I believe my patience is wearing thin. This is now my second time contacting support, and I truly feel let down that nothing substantial has come from it. I asked for updates, but I feel as though my complaints are falling on deaf ears. Can I expect a resolution soon?",Medium,Medium,Mid-Contract Price Increase,Terse and minimal,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2851,"I was promised a replacement for my faulty handset about a month ago, and I’m still waiting. I mean, I’m an older person, so you can imagine how frustrating this is with nobody from your side reaching out. Despite my effort to call last week, it seems that this has slipped through the cracks. I appreciate your service but just need some help with this matter urgently.",Medium,Medium,Faulty Hardware / Handset Issues,Casual conversational,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2852,"I checked my account today, and I noticed you charged me for a service I didn’t agree to. Given that I only recently set up my account, this is incredibly disappointing. I talked to customer service two weeks ago, and they assured me everything was set up properly, so this really feels unjustifiable. I would like this incorrect charge to be reversed and a full explanation of how this happened.",Medium,Medium,Poor Network Coverage,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
2853,"I’m a student managing my finances carefully, and I’ve already reached out numerous times about your upcoming 3G shutdown impacting my mobile access. I've been promised follow-ups on a resolution that haven't materialized, which is really frustrating. Can you please escalate this to a manager? It’s quite pressing for me.",Medium,Medium,3G Shutdown Impact,Polite but firm,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2854,"So I called in last week because I was having issues with my service being intermittent. I ended up waiting over 45 minutes just to speak to someone, and then they couldn’t really help me. My mental health struggles make long waits particularly daunting. Can I please speak to a manager to resolve this issue? I just want to use my phone.",Medium,Medium,Long Call-Waiting Times,Casual conversational,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2855,"It’s honestly unacceptable that I was told my broadband would be fixed by last Friday, yet here I still am, dealing with erratic speeds. You can imagine how hectic things are with three kids at home trying to do their schoolwork online. This is the third time I’ve had to call about this. I expect some accountability now.",Medium,Medium,Unfulfilled Fix Promises,Formal professional,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2856,"As a long-time customer, I thought I’d never have to complain, but my internet speed is slower than what I was promised on my plan. Mind you, I’ve raised this issue several times over the last month, and each time I’m told it’s being looked into. I need a resolution soon, as it’s impacting my work from home situation significantly.",Medium,Medium,Slow Broadband Speeds,Formal professional,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2857,"I couldn’t help but notice that my last bill was over £50 more than I was quoted for my family plan. This is now the fourth time I’m addressing incorrect charges, and your responses have felt like passing the buck. It’s getting ridiculous and almost comical to be honest. I expect a resolution immediately.",Medium,Medium,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2858,"You’ve got to be joking. This is the third time I’ve reported that my broadband is still down, and I can’t even get a straight answer. I’m fed up with these empty promises. Just fix it.",Medium,Medium,Unfulfilled Fix Promises,Terse and minimal,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
2859,"I’ve just switched from another provider and was assured my account would be set up in time for my services to continue seamlessly. Instead, I received a bill even before I was connected, which raises real concerns about management and process. I tried to contact you last week, but my concerns just led to more confusion. I need this resolved quickly.",Medium,Medium,Billing After Cancellation,Verbose and detailed,Recently switched from another provider,Second attempt — raised once before with no resolution
2860,"I’ve just looked at my latest bill, and I seem to be charged for completely different services than what I signed up for. As a loyal customer for over a decade, this is my first time raising an issue, but it feels completely out of control. Please assist me in correcting this as soon as possible.",Medium,Medium,Overcharging & Incorrect Billing,Formal professional,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
2861,"I recently switched providers, and now I’m being hit by a mid-contract price increase on services that were supposed to be fixed. It feels like a breach of our initial agreement. This is unacceptable. I need clarification on why this is allowed to happen, and I’d appreciate a prompt response.",Medium,Medium,Mid-Contract Price Increase,Legalistic / rights-aware,Recently switched from another provider,First contact — raising the issue for the first time
2862,"I was executed an early termination fee when I tried to switch providers, and I'm feeling quite frustrated—this is particularly tough for my family finances. Having contacted your service five times about this already and still without resolution, I believe it’s time to escalate this matter higher up.",Medium,Medium,High Early Termination Fees,Narrative / storytelling,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2863,"I just received my most recent bill, and there's been no communication on the increasing service costs I've been facing. Having been a loyal customer, I find this lack of updates rather frustrating. I’d like to understand my rights in this situation, and I expect to hear back shortly.",Medium,Medium,Lack of Progress Updates,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
2864,"Here we go again. I've called and expressed my frustration about my recurring issues with billing twice now and nobody has given me a straight answer. The lack of follow-up is disheartening, as I'm not expecting a miracle, merely some acknowledgment. Please send someone competent to help me.",Medium,Medium,High Early Termination Fees,Polite but firm,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2865,"I received a renewal notice that I didn't consent to, and it appears that I’m now bound to a contract involuntarily. This is unacceptable and has caused considerable confusion on top of managing everything else with switching providers. I kindly request immediate attention to this matter.",Medium,Medium,Overcharging & Incorrect Billing,Verbose and detailed,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2866,"I've voiced my concerns about these incorrect billing issues before, and now I'm facing a situation where I feel utterly let down by your support team. It’s taken days without solid communication, and frankly, I can’t keep waiting while you figure it out. I need your team to take this seriously.",Medium,Medium,Poor Complaint Handling,Casual conversational,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2867,I'm aghast at how my complaint has been handled. I waited over an hour on the phone just to be disconnected. This is not the approach one would expect from a service-oriented company. Can you imagine how troubling this makes matters for someone like me who's already dealing with health issues? I demand to escalate this.,Medium,Medium,Auto-Renewal Without Consent,Terse and minimal,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2868,I just noticed this unexpected charge on my bank statement that I don’t recall agreeing to. I'm really confused and quite frustrated as an elderly person navigating all of this technology is already hard. I would appreciate some clarity on why this happened and how you plan to rectify it.,Medium,Medium,Auto-Renewal Without Consent,Casual conversational,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2869,"I’m writing to address a billing issue that has come up after I canceled my service last month. I was told by your customer service team that everything would be finalized as of September 1st, yet I received a bill on the 15th. It’s disappointing, especially as I’m managing a busy family and keeping track of these finances isn’t easy. I need this resolved quickly because it’s really affecting our budgeting.",Medium,Medium,Billing After Cancellation,Verbose and detailed,Parent managing a family plan,First contact — raising the issue for the first time
2870,"I've just received the new phone and honestly, it’s quite disappointing. The connectivity issues are really annoying as I was promised a seamless experience. I tried troubleshooting as I’m used to these things, but nothing seems to work. It’s my first time dealing with this, and I expected better service given the money I spent on the device.",Medium,Medium,Faulty Hardware / Handset Issues,Casual conversational,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2871,"I have been a loyal customer for over ten years and I can’t shake the feeling that my concerns are being overlooked. Despite numerous calls regarding poor network coverage in my area, nothing has changed. My last contact was with Sarah on October 5th, and she assured me that a technician would look into this, but I’m seeing no improvements.",Medium,Medium,Poor Network Coverage,Formal professional,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2872,"I’m writing to express my concern about a strange message I got claiming to be from you, asking for my account details. Having just switched to your service from another provider, it feels alarming. I need clarification on this as it seems very suspicious.",Medium,Medium,Fraud & Scams,Formal professional,Recently switched from another provider,First contact — raising the issue for the first time
2873,"I just found out about the price increase mid-contract, and I genuinely can't wrap my head around why that would happen to someone like me. As a student, this is really going to strain my finances. Why wasn’t I informed beforehand?",Medium,Medium,Mid-Contract Price Increase,Casual conversational,Student on a tight budget,First contact — raising the issue for the first time
2874,"I tried to get a straightforward answer about my account issue, and frankly, the responses I received were not helpful. This is frustrating because all I want is to sort my problem quickly, but all I got was a runaround with no resolution in sight.",Medium,Medium,Poor Complaint Handling,Terse and minimal,Student on a tight budget,First contact — raising the issue for the first time
2875,"I called to discuss some hidden fees that have appeared on my latest statement, and while you assured me this was addressed last week, nothing has changed. This is my second time raising the issue. As a student, every penny counts, and I need you to take this seriously.",Medium,Medium,Hidden Fees & Charges,Terse and minimal,Student on a tight budget,Second attempt — raised once before with no resolution
2876,"I’ve noticed some additional charges that weren’t outlined when I signed up, and it’s quite disappointing. As someone trying to manage their budget carefully, I was hoping for transparency. I’m hoping to resolve this quickly, so I’d appreciate a prompt response.",Medium,Medium,Hidden Fees & Charges,Polite but firm,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2877,"After canceling my previous service, I’m still receiving bills, which is puzzling. I made a second contact regarding this matter as the first time didn’t get resolved. I feel it's unacceptable and I’d like this handled immediately.",Medium,Medium,Billing After Cancellation,Legalistic / rights-aware,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2878,Your promises of fixing my phone issue have gone unfulfilled since I first reported it three weeks ago. It’s disheartening to see no action taken and it’s starting to feel like my complaints are falling on deaf ears.,Medium,Medium,Unfulfilled Fix Promises,Narrative / storytelling,Student on a tight budget,First contact — raising the issue for the first time
2879,"I was charged incorrectly this month and it’s quite upsetting. My bill is way higher than what I agreed to pay, and I've called once already but am yet to see any change. I need someone to sort this out, as it’s affecting my financial planning.",Medium,Medium,Overcharging & Incorrect Billing,Verbose and detailed,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2880,"I wasn’t pleased with the AI support when I reached out for help. I tried to talk to a representative, but instead, I ended up in a chatbot loop with no real answers, which feels like a waste of time. I’m used to better customer service.",Medium,Medium,Mid-Contract Price Increase,Formal professional,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2881,"I contacted you several times about my complaint, and frankly, each time has been met with vague responses. I'm tiring of having to explain myself repeatedly. As a parent managing a family account, I’d expect a more competent resolution process.",Medium,Medium,Ineffective AI / Chatbot Support,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2882,"I have reported my number change request on October 1st and am still waiting for the porting to complete. This delay is turning into quite the inconvenience, and it feels unacceptable when I was told it would only take a day or two.",Medium,Medium,Poor Complaint Handling,Casual conversational,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2883,"I've been a loyal customer for over five years, and it seems like the more I stay, the more I get penalized for it. I contacted your customer service three times over the last month, and every time I hear the same excuse. If this is how you reward loyalty, I can't help but feel disappointed. Maybe it's time to rethink my business strategy.",Medium,Medium,Loyalty Penalty,Passive-aggressive / sarcastic,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
2884,"I've just gone through my latest bill, and I noticed a charge of £150 that wasn't explained anywhere. I raised a similar issue last month, but it was unresolved despite multiple calls to your support team. My business relies on accurate invoicing. Please take a moment to sort this out as soon as possible.",Medium,Medium,Overcharging & Incorrect Billing,Verbose and detailed,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2885,"As someone who has been with you for over a decade, I never thought I’d be dealing with so many issues with my handset. I’ve reached out several times about the problems I’m facing with dropped calls, but nothing seems to get solved. It’s getting harder to trust that my calls will actually go through.",Medium,Medium,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2886,"I’ve called your support team multiple times regarding the poor coverage in my area, and nothing has changed. I’m a student and I can’t afford to be missing calls from potential employers. There are dead zones everywhere and I was promised the same level of service that everyone else gets.",Medium,Medium,Poor Network Coverage,Polite but firm,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
2887,"The last interaction I had with your chatbot was frustrating, to say the least. I asked about my billing issues, and it kept directing me to FAQs that don't apply to my situation at all. I wrangled with that for over twenty minutes before giving up. I need to speak with a real person who can help me sort this out.",Medium,Medium,Ineffective AI / Chatbot Support,Narrative / storytelling,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2888,"This penalty on my account for being a long-time customer is absolutely baffling. I called last week, and the agent gave me conflicting information about my plan. At my age, I’m not fully tech-savvy. It shouldn't be this complicated to understand my bill and options, and I'm starting to feel thoroughly neglected.",Medium,Medium,Loyalty Penalty,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
2889,"I walked into your store thinking I was getting a great deal, only to find out later that it was all an error made by your staff. After complaining about this twice already, I’m still left with a plan that doesn't meet my needs. I need this sorted out properly, not just brushed under the rug.",Medium,Medium,Wrong Sale Due to Agent Mistake,Verbose and detailed,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2890,"Every time I call, I end up waiting for at least 30 minutes. I’ve done this a few times in the past few weeks just to get answers about my account, and I honestly can’t keep doing this. There must be a better way for customers with health issues to get help without this lengthy wait.",Medium,Medium,Long Call-Waiting Times,Legalistic / rights-aware,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
2891,"Again, I find myself in a situation where I’m being penalized simply for sticking around. I complained last week and yet I received no resolution. I’m very keen on understanding why a long-term customer like me has to deal with such mismanagement repeatedly.",Medium,Medium,Loyalty Penalty,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2892,"The chatbot is supposed to help, but it just feels like I’m going in circles. I’ve raised this issue for the first time today, so I’d really appreciate some human assistance. I’m just a student and I can't afford to waste time on irrelevant links.",Medium,Medium,Ineffective AI / Chatbot Support,Polite but firm,Student on a tight budget,First contact — raising the issue for the first time
2893,"I’ve been experiencing slow broadband speeds for weeks. I’ve raised this issue multiple times, yet my service remains awful. My productivity hinges on reliable Internet access and I find myself increasingly frustrated with the lack of solutions",Medium,Medium,Slow Broadband Speeds,Formal professional,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
2894,"I’m calling about the loyalty penalty for the first time, and to be completely honest, I’m just puzzled. Why am I being penalized for being a customer for so long? I thought that the service would improve over time, not get worse. Can somebody explain that to me?",Medium,Medium,Loyalty Penalty,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2895,"I called about my account a few weeks ago and mentioned the loyalty penalty, but it seems like my case was overlooked. I actually called in today, hoping to finally sort this out after my previous attempts. Can someone please assist me without any more delays?",Medium,Medium,Loyalty Penalty,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
